Branch,CPU,RAM,Storage,GPU,Screen,Pin,Status,Price
Dell,Core i5-7200U,8 GB,SSD 256GB,Intel HD Graphics 620,13.3 inch Full HD,3 Cell 50 WHr,Old,8.500.000
Dell,Core i5-8250U,8 GB,SSD 256GB,Intel HD Graphics 620,13.3 inch Full HD,3 Cell 50 WHr,Old,9.400.000
Dell,Core i5-1035G1,8 GB,SSD 256GB,Nvidia GeForce MX330 2GB,14 inch Full HD,56Wh,Old,11.800.000
Macbook,Intel Core i5,8 GB,SSD 256GB,Intel Iris Plus Graphics 655,13.3 inch (2560x1600)pixel,58Wh,Old,11.900.000
Macbook,Intel Core i5,16 GB,SSD 512GB,Intel Iris Plus Graphics 655,13.3 inch (2560x1600)pixel,58Wh,Old,15.900.000
MacBook,Apple M1,8 GB,SSD 256GB,Intel Iris Plus Graphics,13.3 inch (2560x1600)pixel,18 ti?ng,Old,14.900.000
MacBook,Apple M1,8 GB,SSD 512GB,Intel Iris Plus Graphics,13.3 inch (2560x1600)pixel,18 ti?ng,Old,17.900.000
MacBook,Apple M1,8 GB,SSD 256GB,Intel Iris Plus Graphics,13.3 inch (2560x1600)pixel,18 ti?ng,Old,18.900.000
Dell,Core i7-1260P,16 GB,SSD 512GB,Intel Iris Xe Graphics,13.3 inch 2K,4 Cell 54WHrs,Old,15.500.000
Dell,Core i7-12700H,16 GB,SSD 1TB,Intel Iris Xe Graphics,16.0 inch 2K,"6 Cell, 87WHr",Old,20.500.000
Dell,Core i5-10310U,8 GB,SSD 512GB,Intel HD Graphics,14 inch Full HD,"4 Cell, 52WHr",Old,8.900.000
Dell,Core i5-10310U,16 GB,SSD 512GB,Intel HD Graphics,14 inch Full HD,"4 Cell, 52WHr",Old,9.600.000
Dell,Core i7-10610U,16 GB,SSD 512GB,Intel HD Graphics,14 inch Full HD,"4 Cell, 52WHr",Old,10.600.000
HP,Core i5-10310U,8 GB,SSD 256GB,Intel UHD Graphics 630,14 inch Full HD,3 cell 53 Wh Lithium-Ion,Old,9.200.000
HP,Core i5-10310U,16 GB,SSD 256GB,Intel UHD Graphics 630,14 inch Full HD,3 cell 53 Wh Lithium-Ion,Old,9.900.000
HP,Core i7-10810U,8 GB,SSD 256GB,Intel UHD Graphics 630,14 inch Full HD,3 cell 53 Wh Lithium-Ion,Old,11.900.000
HP,Core i7-10810U,16 GB,SSD 512GB,Intel UHD Graphics 630,14 inch Full HD,3 cell 53 Wh Lithium-Ion,Old,12.900.000
Dell,Core i5-1145G7,16 GB,SSD 512GB,Intel Iris Xe Graphics,13.3 inch Full HD,63 Wh Lithium-Ion,Old,10.400.000
Dell,Core i7-1185G7,16 GB,SSD 512GB,Intel Iris Xe Graphics,13.3 inch Full HD,63 Wh Lithium-Ion,Old,11.900.000
Dell,Core i7-1185G7,32 GB,SSD 512GB,Intel Iris Xe Graphics,13.3 inch Full HD,63 Wh Lithium-Ion,Old,12.500.000
Dell,Core i5-1145G7,8 GB,SSD 256GB,Intel Iris Xe Graphics,14 inch Full HD,4 Cell 63Whr,Old,10.600.000
Dell,Core i5-1145G7,16 GB,SSD 256GB,Intel Iris Xe Graphics,14 inch Full HD,4 Cell 63Whr,Old,11.000.000
HP,Core i5-1145G7,16 GB,SSD 256GB,Intel Iris Xe Graphics,14 inch Full HD,"3-cell, 53 Wh Li-ion",Old,10.900.000
Dell,Core i5-12500H,16 GB,SSD 512GB,Nvidia GeForce RTX 3050 4GB,15.6 inch Full HD,"3-cell, 56WHz",Old,18.900.000
Dell,Core i5-12500H,16 GB,SSD 512GB,Nvidia GeForce RTX 3050 4GB,15.6 inch Full HD,"3-cell, 56WHz",Old,20.500.000
Dell,Core i7-12700H,16 GB,SSD 512GB,Nvidia GeForce RTX 3060 6GB,15.6 inch Full HD,"3-cell, 56WHz",Old,22.000.000
Dell,Core i5-12500H,16 GB,SSD 512GB,Nvidia GeForce RTX 3050Ti 4GB,15.6 inch Full HD,"3-cell, 56WHz",Old,22.500.000
Dell,Core i7-12650H,16 GB,SSD 512GB,Nvidia GeForce RTX 3060 6GB,15.6 inch Full HD,"3-cell, 56WHz",Old,23.500.000
Dell,Core i7-12700H,16 GB,SSD 512GB,Nvidia GeForce RTX 3060 6GB,15.6 inch Full HD,"3-cell, 56WHz",Old,24.000.000
HP,Core i5-10210U,8 GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,48 Wh Lithium-Ion,Old,8.200.000
HP,Core i5-8265U,8 GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,3 Cells 45WHr,Old,8.300.000
HP,Core i5-8265U,8 GB,SSD 256GB,Nvidia Geforce MX130 2GB,14 inch Full HD,3 Cells 45WHr,Old,8.900.000
HP,Core i3-1005G1,4 GB,SSD 256GB,Intel UHD Graphics,15.6 inch HD,"3-cell, 41 Wh Li-ion",Old,8.900.000
HP,Core i5-10310U,8 GB,SSD 256GB,Intel UHD Graphics,13.3 inch Full HD,3-cell 53 Wh,Old,8.900.000
Dell,Core i5-1135G7,16 GB,SSD 512GB,Nvidia GeFore MX350 2GB GDDR5,14 inch Full HD,"4-Cell Battery, 53WHr",Old,13.900.000
Dell,Core i5-1235U,8 GB,SSD 256GB,Intel Iris Xe Graphics,14 inch Full HD,4 Cell 58 Wh,Old,15.000.000
